sofifa_id,long_name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,skill_moves,work_rate,body_type,player_tags,team_position
202276,Simon Zoller,23,179,70,Germany,1. FC Köln,70,77,0,0,Right,3,Medium/Medium,Normal,,SUB
202547,Jean-Christophe Bahebeck,21,182,76,France,Paris Saint-Germain,70,77,0,0,Right,3,Medium/Low,Lean,,SUB
203910,Anthony Knockaert,22,172,69,France,Leicester City,70,77,0,0,Left,4,Medium/Medium,Normal,#Acrobat,SUB
204280,Cristian Ignacio Herrera Pérez,23,189,85,Spain,Elche CF,70,77,0,0,Left,3,High/Medium,Normal,,SUB
204307,Julian Korb,22,177,69,Germany,Borussia Mönchengladbach,70,77,0,0,Right,2,High/Medium,Lean,,RB
204923,Marcel Sabitzer,20,177,74,Austria,FC Red Bull Salzburg,70,77,0,0,Right,3,Medium/Medium,Lean,#Speedster,LM
205548,Nicola Bellomo,23,174,70,Italy,Chievo Verona,70,77,0,0,Right,3,High/Medium,Normal,,SUB
212204,Brandon Mechele,21,188,81,Belgium,Club Brugge KV,70,77,0,0,Right,2,Medium/Medium,Lean,,SUB
214671,Rodrigo Gómez,21,168,65,Argentina,Independiente,70,77,0,0,Right,4,High/Low,Lean,#Acrobat,RM
220035,Abdul Ajagun,21,167,60,Nigeria,Panathinaikos FC,70,77,0,0,Right,3,Medium/Medium,Normal,,CAM
225021,Jorge Daniel Benítez Guillén,21,182,84,Paraguay,Olympiacos CFP,70,77,0,0,Right,2,High/Medium,Stocky,,SUB
176628,Jahmir Hyka,26,169,62,Albania,FC Luzern,70,76,0,0,Right,3,Medium/Medium,Lean,#Acrobat,SUB
182528,Kermit Erasmus,23,171,68,South Africa,Orlando Pirates,70,76,0,0,Right,3,Medium/Medium,Stocky,,LS
185068,Johnny Russell,24,178,78,Scotland,Derby County,70,76,0,0,Left,3,Medium/Medium,Normal,,SUB
185072,Mihail Aleksandrov,25,180,74,Bulgaria,Bulgaria,70,76,0,0,Left,3,Medium/Medium,Normal,#Speedster,
186117,Jordon Mutch,22,188,81,England,Queens Park Rangers,70,76,0,0,Right,2,Medium/Medium,Normal,,SUB
186161,Gilles Sunu,23,181,75,France,FC Lorient,70,76,0,0,Left,3,Medium/Medium,Normal,,SUB
187898,Mervan Çelik,24,177,71,Sweden,Gençlerbirliği SK,70,76,0,0,Right,4,Medium/Low,Normal,,LM
188071,Thomas Oar,22,169,73,Australia,FC Utrecht,70,76,0,0,Left,3,Medium/Medium,Lean,,LW
188313,Diogo Filipe Guerreiro Viana,24,173,63,Portugal,Gil Vicente FC,70,76,0,0,Right,4,High/Medium,Normal,,SUB
189436,Lorenzo Ariaudo,25,187,77,Italy,Sassuolo,70,76,0,0,Left,2,Low/High,Lean,,LCB
190084,Panagiotis Tachtsidis,23,191,86,Greece,Hellas Verona,70,76,0,0,Left,2,Medium/Medium,Normal,,CDM
190941,Lukáš Hrádecký,24,190,80,Finland,Brøndby IF,70,76,0,0,Right,1,Medium/Medium,Lean,,GK
191066,Felix Kroos,23,184,78,Germany,SV Werder Bremen,70,76,0,0,Right,2,Medium/Medium,Normal,,SUB
192126,Nabil Bahoui,23,188,82,Sweden,AIK,70,76,0,0,Right,3,Medium/Medium,Normal,,LM
193580,Musa Nizam,23,182,74,Turkey,Trabzonspor,70,76,0,0,Left,3,Medium/High,Normal,,LB
194876,Maksim Kanunnikov,22,184,77,Russia,Rubin Kazan,70,76,0,0,Right,3,High/Medium,Normal,,RM
198145,Sergio Ezequiel Araújo,22,178,73,Argentina,UD Las Palmas,70,76,0,0,Right,4,Medium/Low,Normal,,ST
198146,Stefan Šćepović,24,186,79,Serbia,Celtic,70,76,0,0,Right,3,High/Medium,Lean,,SUB
200630,James Forrest,22,170,67,Scotland,Celtic,70,76,0,0,Right,3,Medium/Medium,Normal,#Acrobat,SUB
201042,Djibril Sidibé,21,182,71,France,LOSC Lille,70,76,0,0,Right,2,High/Medium,Normal,,SUB
202379,Jonathan Sundy Zongo,21,183,72,Burkina Faso,UD Almería,70,76,0,0,Right,2,High/High,Lean,#Speedster,LM
205553,Luca Ceppitelli,24,189,83,Italy,Cagliari,70,76,0,0,Right,2,High/Medium,Normal,,RCB
205699,Jander Ribeiro Santana,25,183,76,Brazil,Gil Vicente FC,70,76,0,0,Left,3,High/High,Normal,#Engine,LB
207858,Dom Dwyer,23,175,82,England,Sporting Kansas City,70,76,0,0,Left,3,High/High,Normal,#Engine,ST
208926,Abdullah Moutlaq Al Enazi,23,183,84,Saudi Arabia,Al Nassr,70,76,0,0,Right,1,Medium/Medium,Normal,,GK
209106,Germán Lérez,26,182,79,Paraguay,Paraguay,70,76,0,0,Right,3,High/High,Stocky,,
209449,Gerson Fernandes,23,172,62,Guinea Bissau,Moreirense FC,70,76,0,0,Left,3,High/Medium,Normal,"#Speedster, #Acrobat",SUB
209846,Christian Günter,21,184,80,Germany,SC Freiburg,70,76,0,0,Left,2,Medium/Medium,Stocky,,LB
210471,Leonardo Oliveira Clemente,25,173,71,Brazil,FC Sion,70,76,0,0,Right,3,High/Medium,Stocky,#Acrobat,SUB
211231,Ramon Olamilekan Azeez,21,170,67,Nigeria,UD Almería,70,76,0,0,Right,3,Medium/Medium,Normal,,SUB
214217,Benjamín Fernando Vidal Allendes,23,179,80,Chile,Universidad de Chile,70,76,0,0,Right,2,Medium/Medium,Normal,,SUB
214776,Oscar Benítez,21,183,77,Argentina,Club Atlético Lanús,70,76,0,0,Right,3,High/Medium,Lean,,SUB
215057,Iván Marcone,24,183,83,Argentina,Arsenal de Sarandí,70,76,0,0,Right,2,Medium/Medium,Stocky,#Strength,RCM
215322,Jonathan Silva,20,175,68,Argentina,Sporting CP,70,76,0,0,Left,3,High/Medium,Lean,,RES
215358,César Meli,22,170,70,Argentina,Boca Juniors,70,76,0,0,Right,4,Medium/High,Normal,,SUB
217648,原口 元気,23,177,68,Japan,Hertha BSC,70,76,0,0,Right,3,Medium/Medium,Lean,,LM
220118,Illiass Bel Hassani,21,173,72,Netherlands,Heracles Almelo,70,76,0,0,Left,4,Medium/Low,Normal,,CAM
220150,Jean Deza,21,172,71,Peru,Montpellier HSC,70,76,0,0,Right,3,Medium/Medium,Lean,,SUB
153048,Magnus  Wolff Eikrem,23,178,72,Norway,Cardiff City,70,75,0,0,Right,3,Medium/High,Lean,,SUB
168600,Itay Menachem Shechter,27,180,77,Israel,FC Nantes,70,75,0,0,Right,3,Medium/Medium,Normal,,SUB
169100,Ikechi Anya,26,168,72,Scotland,Watford,70,75,0,0,Left,2,Medium/Medium,Normal,"#Speedster, #Acrobat",LAM
169196,Bruno Ferreira Mombra Rosa,25,183,79,Brazil,Akhisar Belediyespor,70,75,0,0,Left,3,Medium/Low,Normal,,SUB
173023,Alberto Frison,25,191,87,Italy,Catania,70,75,0,0,Right,1,Medium/Medium,Lean,,SUB
182837,Kazenga LuaLua,23,181,77,DR Congo,Brighton & Hove Albion,70,75,0,0,Right,4,High/Medium,Lean,#Acrobat,LF
183519,Nacer Barazite,24,186,79,Netherlands,FC Utrecht,70,75,0,0,Right,4,Medium/Low,Normal,,SUB
183774,Ryan Bennett,24,181,78,England,Norwich City,70,75,0,0,Right,2,Low/Medium,Normal,,RES
183853,Aarón Ñíguez Esclapez,25,170,69,Spain,Elche CF,70,75,0,0,Left,3,Medium/Medium,Lean,,SUB
185122,Péter Gulácsi,24,190,75,Hungary,FC Red Bull Salzburg,70,75,0,0,Right,1,Medium/Medium,Lean,,SUB
186101,Even Hovland,25,191,90,Norway,1. FC Nürnberg,70,75,0,0,Right,2,High/High,Normal,#Strength,SUB
187048,Abdoulaye Traoré,26,180,79,Mali,FC Girondins de Bordeaux,70,75,0,0,Right,2,Medium/Medium,Normal,,SUB
188601,Alexandre Coeff,22,185,72,France,RCD Mallorca,70,75,0,0,Right,3,Medium/Medium,Lean,,SUB
188625,Joel Ekstrand,25,188,77,Sweden,Watford,70,75,0,0,Right,2,Medium/Medium,Lean,,RCB
189143,Sebastian Eriksson,25,185,74,Sweden,Cagliari,70,75,0,0,Left,2,High/High,Lean,,SUB
189271,Francis Coquelin,23,178,74,France,Arsenal,70,75,0,0,Right,3,Medium/Medium,Normal,,RES
189338,Jonathan Matías Urretaviscaya da Luz,24,174,62,Uruguay,FC Paços de Ferreira,70,75,0,0,Right,3,Medium/Medium,Normal,,SUB
189383,Mads  Winther Albæk,24,182,78,Denmark,Stade de Reims,70,75,0,0,Left,2,Medium/Medium,Lean,,RES
190738,Håvard Kallevik Nielsen,20,187,80,Norway,Eintracht Braunschweig,70,75,0,0,Right,2,High/Medium,Normal,,RS
190931,Ervin Zukanović,27,190,85,Bosnia Herzegovina,Chievo Verona,70,75,0,0,Left,2,Medium/Medium,Normal,,SUB
191076,Johann  Berg Guðmunds­son,23,178,77,Iceland,Charlton Athletic,70,75,0,0,Left,3,High/Medium,Normal,,SUB
192072,Adrian Marius Stoian,23,178,66,Romania,Bari,70,75,0,0,Right,3,Medium/Medium,Lean,,LM
192155,Evgeniy Makeev,24,181,73,Russia,Spartak Moscow,70,75,0,0,Right,3,High/Medium,Normal,,LB
192454,Demetris Christofi,25,175,78,Cyprus,FC Sion,70,75,0,0,Right,3,High/Low,Normal,#Speedster,RM
192679,Sergio Escudero Palomo,24,176,72,Spain,Getafe CF,70,75,0,0,Left,3,High/Medium,Lean,,SUB
193346,Guus Hupperts,22,176,75,Netherlands,AZ Alkmaar,70,75,0,0,Right,3,High/Medium,Lean,,RW
193361,Roberto Soriano,23,182,76,Italy,Sampdoria,70,75,0,0,Right,3,Medium/Medium,Normal,,RCM
193461,Alfredo Kulembe Ribeiro,24,170,68,Portugal,Os Belenenses,70,75,0,0,Right,4,Medium/Medium,Normal,#Speedster,SUB
193746,Osman Tarık Çamdal,23,176,63,Turkey,Galatasaray SK,70,75,0,0,Right,3,High/Medium,Lean,,LB
194171,Knowledge Musona,24,174,68,Zimbabwe,TSG 1899 Hoffenheim,70,75,0,0,Right,3,Medium/Low,Normal,,RES
194200,Ángel Trujillo Canorea,26,179,79,Spain,UD Almería,70,75,0,0,Right,2,Low/Medium,Normal,,LCB
194904,Bill Hamid,23,191,102,United States,DC United,70,75,0,0,Right,1,Medium/Medium,Stocky,,GK
195668,Joel Robles Blázquez,24,195,90,Spain,Everton,70,75,0,0,Right,1,Medium/Medium,Lean,,SUB
198704,Josh McEachran,21,178,65,England,Vitesse,70,75,0,0,Left,3,Medium/Medium,Lean,,SUB
198950,Pablo Sarabia García,22,174,70,Spain,Getafe CF,70,75,0,0,Left,4,Medium/Medium,Lean,,RM
198953,Simone Benedetti,22,190,80,Italy,Cagliari,70,75,0,0,Right,2,Low/High,Lean,,SUB
200113,Florian Jozefzoon,23,175,72,Netherlands,PSV,70,75,0,0,Right,3,Medium/Medium,Normal,,SUB
200120,Michael Javier Ortega Dieppa,23,170,69,Colombia,Junior FC,70,75,0,0,Right,3,Medium/Medium,Normal,,SUB
200677,Pedro Filipe Teodósio Mendes,23,187,78,Portugal,Parma,70,75,0,0,Right,2,Medium/Medium,Lean,,RES
201146,Jon Errasti Zabaleta,26,180,81,Spain,SD Eibar,70,75,0,0,Right,2,Medium/High,Stocky,,RDM
202088,Felix Klaus,21,180,79,Germany,SC Freiburg,70,75,0,0,Right,3,Medium/Medium,Normal,,LM
202539,Leigh Griffiths,23,175,64,Scotland,Celtic,70,75,0,0,Left,3,Medium/Medium,Lean,,SUB
204240,Baptiste Reynet,23,185,85,France,Dijon FCO,70,75,0,0,Right,1,Medium/Medium,Normal,,GK
205588,Immanuel Höhn,22,183,75,Germany,SC Freiburg,70,75,0,0,Right,2,Medium/Medium,Lean,,SUB
205850,Leonardo Pavoletti,25,186,78,Italy,Sassuolo,70,75,0,0,Right,2,High/Medium,Normal,,SUB
207657,Fernando Omar Barrientos,22,174,71,Argentina,Rosario Central,70,75,0,0,Right,2,Medium/Medium,Normal,,LCM
208224,Petros Mantalos,22,176,68,Greece,Greece,70,75,0,0,Right,3,Medium/Medium,Lean,,
209327,Gerson Elías Acevedo Rojas,26,184,83,Chile,FC Ural Yekaterinburg,70,75,0,0,Right,2,High/Medium,Normal,,CAM
210282,Bruno da Silva Peres,24,178,72,Brazil,Torino,70,75,0,0,Right,3,High/Medium,Lean,,RES
214014,Carlos David Lizarazo Landázuri,23,171,67,Colombia,Deportivo Cali,70,75,0,0,Left,3,Medium/Low,Normal,,LM
214136,Francisco Javier Meza Palma,22,181,71,Colombia,Independiente Santa Fe,70,75,0,0,Right,2,Low/High,Lean,,LCB
215077,Hernán Villalba,25,175,72,Argentina,Newell's Old Boys,70,75,0,0,Right,3,Medium/High,Lean,,SUB
215080,Martín Tonso,24,175,71,Argentina,Newell's Old Boys,70,75,0,0,Right,4,Medium/Medium,Normal,,SUB
215181,Gino Peruzzi,22,178,66,Argentina,Catania,70,75,0,0,Right,2,High/Medium,Lean,,RB
216189,Ander Capa Rodríguez,22,173,70,Spain,SD Eibar,70,75,0,0,Right,4,High/High,Stocky,,RM
220522,Daniel Hernández,21,176,65,Colombia,Independiente Medellín,70,75,0,0,Left,4,High/Low,Lean,#Acrobat,CAM
223066,Andrés Chávez,23,184,91,Argentina,Boca Juniors,70,75,0,0,Left,2,Medium/Medium,Stocky,,SUB
223248,Juan Martín Lucero,22,179,70,Argentina,Independiente,70,75,0,0,Right,2,Medium/Low,Lean,,SUB
156623,Ibrahim Sissoko,22,177,71,Ivory Coast,Eskişehirspor,70,74,0,0,Left,4,Medium/Medium,Stocky,,RM
167797,Emilio Nsue López,24,181,77,Equatorial Guinea,Middlesbrough,70,74,0,0,Right,3,Medium/Medium,Normal,,RB
172295,Daniel Estrada Agirrezablaga,27,179,74,Spain,Real Sociedad,70,74,0,0,Right,3,High/Medium,Lean,,SUB
172696,Matteo Ardemagni,27,185,82,Italy,Spezia,70,74,0,0,Right,3,Medium/Medium,Normal,#Strength,SUB
177723,Fabricio Martín Agosto Ramírez,26,182,80,Spain,Deportivo de La Coruña,70,74,0,0,Right,1,Medium/Medium,Normal,,SUB
179960,Ben Sahar,24,180,72,Israel,Willem II,70,74,0,0,Right,3,Medium/Medium,Normal,,LW
180409,Ceyhun Gülselam,26,192,88,Turkey,Hannover 96,70,74,0,0,Right,2,Low/High,Normal,,SUB
181343,Pierre Bengtsson,26,175,77,Sweden,FC København,70,74,0,0,Left,2,High/Medium,Normal,,LB
181456,Romain Genevois,26,182,75,France,OGC Nice,70,74,0,0,Right,2,Low/Medium,Normal,,LCB
181694,Johann Carrasso,26,187,87,France,FC Metz,70,74,0,0,Right,1,Medium/Medium,Normal,,GK
182107,Everton Leandro dos Santos Pinto,27,176,66,Brazil,FC Seoul,70,74,0,0,Right,3,High/Medium,Normal,,RW
184136,Orlando Carlos Braga de Sá,26,188,85,Portugal,Legia Warszawa,70,74,0,0,Right,2,Medium/Low,Normal,#Strength,SUB
184999,Maurício José da Silveira Júnior,25,180,72,Brazil,Terek Grozny,70,74,0,0,Right,3,High/Medium,Normal,,LDM
186132,Danny Drinkwater,24,178,70,England,Leicester City,70,74,0,0,Right,3,Medium/Medium,Normal,,SUB
187337,Guillermo Federico Molins Palmeiro,25,186,83,Sweden,Malmö FF,70,74,0,0,Right,3,High/Low,Normal,,SUB
187666,Sergey Pesyakov,25,198,90,Russia,Spartak Moscow,70,74,0,0,Right,1,Medium/Medium,Lean,,RES
188103,Rubén  Rochina Naixes,23,182,76,Spain,Granada CF,70,74,0,0,Left,4,Medium/Low,Lean,,LM
189432,Mohamed Amine Chermiti,26,177,72,Tunisia,FC Zürich,70,74,0,0,Left,4,High/Low,Lean,,ST
189490,Mirko Boland,27,174,68,Germany,Eintracht Braunschweig,70,74,0,0,Left,3,High/Medium,Normal,,RM
189747,Jorge Filipe  Monteiro dos Santos Lourenço,25,171,69,Portugal,Moreirense FC,70,74,0,0,Right,3,Medium/Medium,Normal,,SUB
190276,Stoppila Sunzu,25,189,80,Zambia,FC Sochaux-Montbéliard,70,74,0,0,Right,2,Medium/Medium,Normal,,RDM
190674,Benjamin André,23,177,68,France,Stade Rennais FC,70,74,0,0,Right,3,High/Medium,Lean,,SUB
191034,Gohi Bi Zoro Cyriac,23,173,68,Ivory Coast,RSC Anderlecht,70,74,0,0,Right,3,High/Medium,Stocky,,SUB
191390,Fabrice N'Sakala,23,178,79,France,RSC Anderlecht,70,74,0,0,Left,3,High/Medium,Lean,,RES
192608,Maxime Barthelmé,25,176,73,France,FC Lorient,70,74,0,0,Left,3,Medium/High,Lean,,RES
193152,Iago Herrerín Buisán,26,187,90,Spain,Athletic Club de Bilbao,70,74,0,0,Right,1,Medium/Medium,Stocky,,SUB
193495,André Filipe Bernardes Santos,25,178,78,Portugal,Balıkesirspor,70,74,0,0,Right,3,Medium/Medium,Normal,,LDM
193554,Diafra Sakho,24,184,79,Senegal,West Ham United,70,74,0,0,Right,3,Medium/Medium,Normal,,RS
195033,Mathew Leckie,23,181,82,Australia,FC Ingolstadt 04,70,74,0,0,Right,3,High/Medium,Normal,#Speedster,LW
196070,Hans Martínez,27,179,76,Chile,CD O'Higgins,70,74,0,0,Right,2,Low/High,Normal,,RCB
196220,József Varga,26,175,71,Hungary,Hungary,70,74,0,0,Right,3,Medium/High,Normal,,
198082,Samba Diakité,25,186,76,Mali,Al Ittihad,70,74,0,0,Right,3,Medium/Medium,Lean,,LDM
198193,Róbert Mak,23,179,78,Slovakia,PAOK,70,74,0,0,Right,4,High/Medium,Normal,,LM
198573,Raoul Cédric Loé,25,192,83,Cameroon,CA Osasuna,70,74,0,0,Right,2,Medium/Medium,Normal,#Strength,RDM
199526,Balázs Megyeri,24,188,88,Hungary,Olympiacos CFP,70,74,0,0,Right,1,Medium/Medium,Stocky,,SUB
200228,Bruno González Cabrera,24,188,86,Spain,Real Betis,70,74,0,0,Right,2,Medium/Medium,Stocky,#Strength,SUB
200231,Roland Alberg,23,180,72,Netherlands,ADO Den Haag,70,74,0,0,Right,3,Medium/Medium,Normal,,CAM
200284,Sercan Kaya,26,174,68,Turkey,Çaykur Rizespor,70,74,0,0,Right,3,High/Medium,Stocky,,SUB
200853,Diego Ifrán,27,174,76,Uruguay,CD Tenerife,70,74,0,0,Right,4,High/Medium,Stocky,,ST
201303,Rasmus Falk Jensen,22,177,65,Denmark,Odense Boldklub,70,74,0,0,Right,3,High/Medium,Normal,#Acrobat,SUB
201343,Toni Šunjić,25,192,84,Bosnia Herzegovina,Kuban Krasnodar,70,74,0,0,Right,2,Medium/Medium,Normal,,LCB
201956,Salif Sané,23,196,84,Senegal,Hannover 96,70,74,0,0,Right,2,Medium/Medium,Lean,#Aerial Threat,RES
202680,Alex Santos Gonçalves,24,182,76,Brazil,Moreirense FC,70,74,0,0,Right,2,High/Medium,Normal,,ST
202935,Álvaro González Soberón,24,180,68,Spain,RCD Espanyol,70,74,0,0,Right,2,Medium/High,Lean,,LCB
203434,Mauro Silva Sousa,23,177,72,Brazil,SC Braga,70,74,0,0,Right,2,Medium/Medium,Normal,,SUB
204153,Yannick Stark,23,186,79,Germany,TSV 1860 München,70,74,0,0,Right,2,Medium/Medium,Normal,,RCM
207706,Giannis Skondras,24,182,78,Greece,PAOK,70,74,0,0,Right,2,Medium/High,Normal,,RB
207894,Tobias Strobl,24,186,77,Germany,TSG 1899 Hoffenheim,70,74,0,0,Right,2,Medium/Medium,Lean,,RB
210007,André Ramalho Silva,22,182,70,Brazil,FC Red Bull Salzburg,70,74,0,0,Right,2,High/Medium,Normal,,RCB
214418,Sebastián Andrés Ubilla Cambón,23,172,65,Chile,Universidad de Chile,70,74,0,0,Right,4,High/Medium,Normal,,SUB
215076,Lorenzo Faravelli,21,172,67,Argentina,Newell's Old Boys,70,74,0,0,Left,4,Medium/Medium,Normal,,RCM
215985,Fernando Monetti,25,184,78,Argentina,Gimnasia y Esgrima La Plata,70,74,0,0,Right,1,Medium/Medium,Normal,,GK
216451,Jean Michaël Seri,22,168,67,Ivory Coast,FC Paços de Ferreira,70,74,0,0,Right,2,Medium/Medium,Normal,,RCM
147196,Aleksey Kozlov,27,186,78,Russia,Dinamo Moscow,70,73,0,0,Right,2,High/Medium,Normal,,SUB
176841,Lukas Jutkiewicz,25,185,73,England,Burnley,70,73,0,0,Left,3,Medium/Medium,Normal,,RS
177151,Ismail Aissati,26,172,68,Morocco,Terek Grozny,70,73,0,0,Right,3,Medium/Low,Normal,,SUB
177621,Carlos Felipe Rodríguez Rangel,25,183,75,Mexico,Monarcas Morelia,70,73,0,0,Right,1,Medium/Medium,Lean,,GK
181377,Emir Bajrami,26,178,77,Sweden,Panathinaikos FC,70,73,0,0,Left,3,Medium/Low,Normal,,SUB
181404,Larrys Mabiala Destin,26,189,80,DR Congo,Kardemir Karabükspor,70,73,0,0,Right,2,Low/Medium,Lean,,LCB
183527,Jay Spearing,25,168,70,England,Bolton Wanderers,70,73,0,0,Right,2,Low/High,Normal,,CDM
183632,Robert Tesche,27,180,71,Germany,Nottingham Forest,70,73,0,0,Right,2,Medium/Medium,Normal,,RCM
183987,Stefano Celozzi,25,171,65,Germany,VfL Bochum 1848,70,73,0,0,Right,3,High/Medium,Normal,,RB
184154,Nill De Pauw,24,180,76,Belgium,Sporting Lokeren,70,73,0,0,Right,3,High/High,Normal,,RM
184482,Jem Karacan,25,176,67,Turkey,Reading,70,73,0,0,Right,2,High/High,Lean,#Engine,SUB
184585,Ádám Bogdán,26,194,90,Hungary,Bolton Wanderers,70,73,0,0,Right,1,Medium/Medium,Lean,,SUB
184747,Chris Martin,25,178,73,Scotland,Derby County,70,73,0,0,Right,3,Medium/Low,Stocky,,ST
187415,Vladimir Granat,27,184,80,Russia,Dinamo Moscow,70,73,0,0,Left,2,Medium/Medium,Normal,,SUB
189053,Francesco Caputo,26,181,74,Italy,Bari,70,73,0,0,Right,3,High/Medium,Lean,,RS
189207,Jimmy Durmaz,25,180,70,Sweden,Olympiacos CFP,70,73,0,0,Left,4,Medium/Low,Normal,,RM
190195,Mamadou Samassa,24,198,85,Mali,En Avant de Guingamp,70,73,0,0,Right,1,Medium/Medium,Normal,#Strength,GK
190535,Miguel Alfonso Herrero Javaloyas,25,181,69,Spain,Getafe CF,70,73,0,0,Right,3,Medium/Medium,Lean,,SUB
192370,Mauro Abel Fórmica,26,178,70,Argentina,Cruz Azul,70,73,0,0,Right,3,Medium/Low,Lean,,CAM
193862,André Almeida Pinto,24,194,86,Portugal,SC Braga,70,73,0,0,Right,2,Medium/Medium,Normal,"#Aerial Threat, #Strength",LCB
193949,Magaye Serigne Falilou Dit Nelson Gueye,23,179,73,Senegal,Millwall,70,73,0,0,Left,3,High/Medium,Normal,,SUB
194050,Max Grün,27,190,86,Germany,VfL Wolfsburg,70,73,0,0,Right,1,Medium/Medium,Normal,,SUB
195093,Willian José da Silva,22,186,89,Brazil,Real Zaragoza,70,73,0,0,Right,3,Medium/Medium,Normal,,SUB
196814,Hélder Pelembe,26,175,79,Mozambique,Orlando Pirates,70,73,0,0,Right,3,Medium/Medium,Normal,,SUB
198347,Franco Daniel Jara,25,179,76,Argentina,SL Benfica,70,73,0,0,Right,3,Medium/Low,Normal,,RES
199661,Almog Cohen,25,170,71,Israel,FC Ingolstadt 04,70,73,0,0,Right,2,Low/High,Normal,,SUB
199772,Sefa Yılmaz,24,183,79,Germany,Trabzonspor,70,73,0,0,Right,2,Medium/Medium,Normal,,SUB
201103,Diego Rigonato Rodrigues,26,179,80,Brazil,Stade de Reims,70,73,0,0,Left,4,Medium/Medium,Normal,,LW
201495,Jakub Sylvestr,25,178,72,Slovakia,1. FC Nürnberg,70,73,0,0,Right,3,Medium/Medium,Normal,,ST
202305,이승기 李胜基,26,177,67,Korea Republic,Jeonbuk Hyundai Motors,70,73,0,0,Right,2,High/Low,Normal,,SUB
207739,ハーフナー・マイク,27,194,81,Japan,Córdoba CF,70,73,0,0,Left,2,Medium/Medium,Lean,#Aerial Threat,ST
209800,Miguel Ángel Herrera,25,182,75,Mexico,Pachuca,70,73,0,0,Right,2,Medium/High,Lean,,RCB
210137,Jairo Palomino,25,182,76,Colombia,Al Ahli,70,73,0,0,Right,2,Medium/Medium,Lean,,RDM
212092,Mohamed Kamara,26,174,69,Sierra Leone,Bolton Wanderers,70,73,0,0,Right,2,Medium/High,Normal,,SUB
212409,Andrés Rentería,21,179,79,Colombia,Santos Laguna,70,73,0,0,Right,4,High/Medium,Lean,,LM
214392,Jefferson Cuero Castro,26,172,70,Colombia,Independiente Santa Fe,70,73,0,0,Left,4,Medium/Medium,Lean,#Speedster,SUB
214429,Leonardo Felipe Valencia Rossel,23,181,79,Chile,CD Palestino,70,73,0,0,Right,4,Medium/Medium,Lean,,RW
214492,Yessy Ferley Mena Palacios,24,170,65,Colombia,Junior FC,70,73,0,0,Left,3,High/Medium,Normal,,ST
214968,Federico Mancuello,25,178,75,Argentina,Independiente,70,73,0,0,Left,2,High/Medium,Normal,,LCM
215060,Nicolás Aguirre,23,180,78,Argentina,Arsenal de Sarandí,70,73,0,0,Left,3,High/Medium,Stocky,,LM
219809,Tiémoué Bakayoko,19,185,77,France,AS Monaco,70,73,0,0,Right,2,Medium/Medium,Lean,,SUB
223966,Vítor Bruno Ramos Gonçalves,24,171,69,Portugal,FC Penafiel,70,73,0,0,Left,3,High/Medium,Lean,,SUB
224100,David Alberto Depetris,25,184,75,Slovakia,Monarcas Morelia,70,73,0,0,Right,2,Medium/Low,Lean,,ST
155524,Richard Stearman,26,191,77,England,Wolverhampton Wanderers,70,72,0,0,Right,2,Medium/Medium,Lean,,LCB
157528,Moritz Stoppelkamp,27,180,77,Germany,SC Paderborn 07,70,72,0,0,Right,3,High/Medium,Normal,,LM
167306,Jan Šimůnek,27,189,79,Czech Republic,VfL Bochum 1848,70,72,0,0,Right,2,Medium/Medium,Normal,,RCB
169410,Daniel Adlung,26,179,77,Germany,TSV 1860 München,70,72,0,0,Right,3,Medium/High,Normal,,SUB
172232,Joona Toivio,26,186,79,Finland,Molde FK,70,72,0,0,Right,2,Medium/High,Normal,,RCB
172517,Mike Lindemann Jensen,26,177,75,Denmark,Rosenborg BK,70,72,0,0,Right,3,Medium/High,Normal,,RCM
172850,Ramon Leeuwin,26,187,76,Netherlands,FC Utrecht,70,72,0,0,Right,2,Medium/Medium,Lean,,RCB
180818,David McGoldrick,26,185,74,England,Ipswich Town,70,72,0,0,Right,2,Medium/Medium,Normal,,RS
183068,Claudio Beauvue,26,174,66,France,En Avant de Guingamp,70,72,0,0,Right,3,High/Low,Lean,#Speedster,RM
183392,David Pollet,25,188,85,France,KAA Gent,70,72,0,0,Right,2,Medium/Medium,Normal,,LS
183545,Chris Herd,25,173,76,Australia,Aston Villa,70,72,0,0,Right,3,Medium/High,Normal,,RES
187671,Ricardo Alexis Laborde León,26,174,65,Colombia,FC Krasnodar,70,72,0,0,Right,2,Medium/Medium,Lean,,SUB
189952,Korcan Çelikay,26,194,86,Turkey,Sivasspor,70,72,0,0,Right,1,Medium/Medium,Normal,,SUB
191096,Khaleem Hyland,25,183,85,Trinidad & Tobago,KRC Genk,70,72,0,0,Right,2,Medium/Medium,Normal,#Strength,SUB
195258,Lukas Schmitz,25,183,78,Germany,Fortuna Düsseldorf,70,72,0,0,Left,2,Medium/Medium,Normal,,LB
199058,Sergey Tkachev,25,184,79,Russia,Lokomotiv Moscow,70,72,0,0,Left,2,Medium/Medium,Normal,,SUB
199409,David Omar Rodríguez Barrera,25,187,73,Spain,Córdoba CF,70,72,0,0,Right,3,High/Medium,Lean,,SUB
199986,Anaitz Arbilla Zabala,27,177,75,Spain,RCD Espanyol,70,72,0,0,Right,2,Medium/High,Normal,,SUB
